rho R(km) M(SM) 
2019093.673329 8792.343400 0.428421 
2021112.767002 8791.064837 0.428558 
2023133.879769 8789.785690 0.428695 
2025157.013649 8788.505962 0.428832 
2027182.170662 8787.225660 0.428969 
2029209.352833 8785.944786 0.429105 
2031238.562186 8784.663346 0.429241 
2033269.800748 8783.381343 0.429377 
2035303.070549 8782.098782 0.429513 
2037338.373619 8780.815668 0.429648 
2039375.711993 8779.532004 0.429784 
2041415.087705 8778.247794 0.429919 
2043456.502793 8776.963044 0.430053 
2045499.959295 8775.677757 0.430188 
2047545.459255 8774.391938 0.430322 
2049593.004714 8773.105590 0.430456 
2051642.597719 8771.818718 0.430590 
2053694.240316 8770.531326 0.430724 
2055747.934557 8769.243418 0.430857 
2057803.682491 8767.954998 0.430991 
2059861.486174 8766.666071 0.431124 
2061921.347660 8765.376640 0.431256 
2063983.269008 8764.086709 0.431389 
2066047.252277 8762.796287 0.431521 
2068113.299529 8761.505370 0.431653 
2070181.412828 8760.213965 0.431785 
2072251.594241 8758.922076 0.431917 
2074323.845835 8757.629708 0.432048 
2076398.169681 8756.336972 0.432180 
